_num,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,revenue_per_employee,growth_category
760,26015,760,24,viaForensics,viaforensics,Illinois,IL,Oak Park,Chicago,600.4515,3103000.0,Security,1,129291.66666666667,Low
761,25305,761,227,TalkingRain,talkingrain,Washington,WA,Preston,Seattle,597.5722,261614467.0,Food & Beverage,1,1152486.6387665197,Low
762,25376,762,139,Eagle Ray,eagle-ray,Virginia,VA,Chantilly,Washington DC,597.3384,30287116.0,Government Services,1,217892.92086330935,Low
763,23448,763,500,HCTec Partners,hctec-partners,Tennessee,TN,Franklin,Nashville,597.0441,69820220.0,Health,2,139640.44,Low
764,26273,764,86,Solomon Group,solomon-group,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,596.389,13417459.0,Media,1,156016.96511627908,Low
765,23390,765,891,Episource,episource,California,CA,La Palma,Los Angeles,596.3459,12796344.0,Health,2,14361.777777777777,Low
766,23319,766,122,Quality In Real Time,quality-in-real-time,New York,NY,Floral Park,New York City,594.272,4913030.0,Health,2,40270.737704918036,Low
767,23014,767,72,Clinovations,clinovations,District of Columbia,DC,Washington,Washington DC,594.0254,24906544.0,Health,2,345924.22222222225,Low
768,25227,768,87,Abstrakt Marketing Group,abstrakt-marketing-group,Missouri,MO,St. Louis,St. Louis MO-IL,592.9752,7462345.0,Advertising & Marketing,1,85774.08045977012,Low
769,22152,769,205,Landpoint,landpoint,Louisiana,LA,Bossier City,Shreveport-Bossier City LA,592.9637,32992000.0,Engineering,3,160936.58536585365,Low
770,25456,770,21,John Pomp Studios,john-pomp-studios,Pennsylvania,PA,Philadelphia,Philadelphia,592.2491,2597464.0,Manufacturing,1,123688.76190476191,Low
771,26035,771,70,Premier Lifestyle Management,premier-lifestyle-management,Maryland,MD,Upper Marlboro,Washington DC,591.7163,2513697.0,Business Products & Services,1,35909.95714285714,Low
772,23026,772,180,Titan Protection and Consulting,titan-protection-and-consulting,Kansas,KS,Overland Park,Kansas City MO-KS,591.1261,3197640.0,Security,2,17764.666666666668,Low
773,309,773,488,Systems Made Simple,systems-made-simple,New York,NY,Syracuse,Syracuse NY,590.9661,278715000.0,IT Services,6,571137.2950819673,Low
774,24797,774,4,WebMechanix,webmechanix,Maryland,MD,Columbia,Baltimore,589.9941,2447285.0,Advertising & Marketing,1,611821.25,Low
775,20371,775,77,Projekt202,projekt202,Texas,TX,Addison,Dallas,589.6828,13303077.0,Software,4,172767.23376623375,Low
776,23509,776,53,Renova Energy,renova-energy,California,CA,Palm Desert,Riverside-San Bernardino-Ontario CA,588.5086,8448000.0,Energy,2,159396.22641509434,Low
777,26565,777,520,Aerohive Networks,aerohive-networks,California,CA,Sunnyvale,San Jose,586.4548,107135000.0,Software,1,206028.84615384616,Low
778,21575,778,270,Coast Professional,coast-professional,Louisiana,LA,West Monroe,Monroe LA,584.6491,38567736.0,Financial Services,3,142843.46666666667,Low
779,19275,779,44,CarGurus,cargurus,Massachusetts,MA,Cambridge,Boston,583.3935,22367327.0,Consumer Products & Services,4,508348.3409090909,Low
780,22978,780,18,Renegade Furniture Group,renegade-furniture-group,New York,NY,Cedarhurst,New York City,582.9567,12396770.0,Retail,2,688709.4444444445,Low
781,25779,781,77,tap|QA,tap-qa,Minnesota,MN,St. Louis Park,Minneapolis,581.8796,7743350.0,IT Services,1,100562.98701298701,Low
782,24979,782,36,Noribachi,noribachi,California,CA,Hawthorne,Los Angeles,580.9933,10189784.0,Manufacturing,1,283049.55555555556,Low
783,21200,783,194,InDemand Interpreting,indemand-interpreting,Washington,WA,Tukwila,Seattle,580.59,6361740.0,Health,3,32792.47422680412,Low
784,24967,784,20,C1S Group,c1s-group,Texas,TX,Dallas,Dallas,580.2478,9415337.0,Engineering,1,470766.85,Low
785,22969,785,11,Sustainable Supply,sustainable-supply,Colorado,CO,Broomfield,Denver,580.2312,5884000.0,Retail,2,534909.0909090909,Low
786,26071,786,14,Guardian Network Solutions,guardian-network-solutions,Texas,TX,Fort Worth,Dallas,579.5961,2518760.0,Security,1,179911.42857142858,Low
787,26322,787,25,Two Toasters,two-toasters,North Carolina,NC,Durham,Durham NC,579.3053,3119696.0,Software,1,124787.84,Low
788,26150,788,36,Karvakko Engineering,karvakko-engineering,Minnesota,MN,Bemidji,Bemidji MN,579.1398,3158000.0,Engineering,1,87722.22222222222,Low
789,25366,789,205,DayNine Consulting,daynine-consulting,California,CA,Pleasanton,San Francisco,579.0108,26460806.0,Business Products & Services,1,129077.10243902438,Low
790,26297,790,17,Interactyx,interactyx,Florida,FL,Bonita Springs,Naples-Marco Island FL,578.7712,2139066.0,Software,1,125827.41176470589,Low
791,25282,791,35,Burgos Group,burgos-group,New Mexico,NM,Albuquerque,Albuquerque NM,576.6209,5546546.0,Government Services,1,158472.74285714285,Low
792,24934,792,39,JW Michaels,jw-michaels,New York,NY,New York,New York City,575.858,9072576.0,Business Products & Services,1,232630.15384615384,Low
793,23114,793,39,ISBX,isbx,California,CA,Los Angeles,Los Angeles,575.1112,5700126.0,Software,2,146157.07692307694,Low
794,26235,794,130,The Hermitage Club,the-hermitage-club,Vermont,VT,West Dover,Unknown,575.0775,11750804.0,Travel & Hospitality,1,90390.8,Low
795,23586,795,30,Black Lotus Communications,black-lotus-communications,California,CA,San Francisco,San Francisco,573.6728,3998221.0,IT Services,2,133274.03333333333,Low
796,23148,796,71,24Hr HomeCare,24hr-homecare,California,CA,El Segundo,Los Angeles,573.3442,29146106.0,Health,2,410508.5352112676,Low
797,25427,797,70,Early Growth Financial Services,early-growth-financial-services,California,CA,San Jose,San Jose,573.1327,4188467.0,Financial Services,1,59835.24285714285,Low
798,20992,798,85,Vets First Choice,vets-first-choice,Maine,ME,Portland,Portland-South Portland-Biddeford ME,572.9642,18687349.0,Business Products & Services,3,219851.16470588234,Low
799,26313,799,27,Chargebacks911,chargebacks911,Florida,FL,Clearwater,Tampa,572.4665,8076349.0,Financial Services,1,299124.037037037,Low
800,23137,800,31,Fitness On Request,fitness-on-request,Minnesota,MN,Maple Grove,Minneapolis,568.9846,6315034.0,Health,2,203710.7741935484,Low
801,26396,801,36,Bonterra Solar,bonterra-solar,Hawaii,HI,Honolulu,Honolulu HI,568.2731,11648000.0,Energy,1,323555.55555555556,Low
802,17334,802,45,Vista Imaging Services,vista-imaging-services,California,CA,El Dorado Hills,Sacramento--Arden-Arcade--Roseville CA,566.98,25926420.0,Health,5,576142.6666666666,Low
803,23216,803,57,Blue Acorn,blue-acorn,South Carolina,SC,Charleston,Charleston-North Charleston SC,566.1181,3500364.0,IT Services,2,61409.89473684211,Low
804,23321,804,75,Kore1,kore1,California,CA,Irvine,Los Angeles,565.5901,5358000.0,IT Services,2,71440.0,Low
805,23214,805,21,QualityFlooring4Less.com,qualityflooring4lesscom,California,CA,San Francisco,San Francisco,564.9172,19865400.0,Consumer Products & Services,2,945971.4285714285,Low
806,26349,806,19,Phenom Software,phenom-software,California,CA,Irvine,Los Angeles,563.495,2739113.0,IT Services,1,144163.84210526315,Low
807,21140,807,23,Footage Firm,footage-firm,Virginia,VA,Reston,Washington DC,563.2463,12996000.0,Media,3,565043.4782608695,Low
808,25395,808,48,YOU Technology,you-technology,California,CA,South San Francisco,San Francisco,562.6951,19745471.0,Advertising & Marketing,1,411363.9791666667,Low
809,21080,809,229,TubeMogul,tubemogul,California,CA,Emeryville,San Francisco,561.9692,57214000.0,Advertising & Marketing,3,249842.79475982534,Low
810,25437,810,101,RailPros Field Services,railpros-field-services,California,CA,Irvine,Los Angeles,561.8955,10485940.0,Engineering,1,103821.18811881189,Low
811,24831,811,1387,Amerit Fleet Solutions,amerit-fleet-solutions,California,CA,Walnut Creek,San Francisco,561.4984,100933004.0,Logistics & Transportation,1,72770.731074261,Low
812,23228,812,32,Owens Harkey Advertising,owens-harkey-advertising,Arizona,AZ,Phoenix,Phoenix,561.3773,5804181.0,Advertising & Marketing,2,181380.65625,Low
813,19814,813,14,REPAY,repay,Georgia,GA,Atlanta,Atlanta,559.6937,22089508.0,Financial Services,4,1577822.0,Low
814,25536,814,269,Mutual Mobile,mutual-mobile,Texas,TX,Austin,Austin,558.4265,33328639.0,Software,1,123898.28624535316,Low
815,21653,815,207,OGSystems,ogsystems,Virginia,VA,Chantilly,Washington DC,558.3478,55591774.0,Government Services,3,268559.2946859903,Low
816,25330,816,259,Saalex Solutions,saalex-solutions,California,CA,Camarillo,Oxnard-Thousand Oaks-Ventura CA,558.3541,35495269.0,Government Services,1,137047.37065637065,Low
817,26433,817,57,EHS Support,ehs-support,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,558.2905,12302640.0,Environmental Services,1,215835.7894736842,Low
818,26492,818,14,3BL Media,3bl-media,Massachusetts,MA,Northampton,Springfield MA,554.5255,2000590.0,Media,1,142899.2857142857,Low
819,25592,819,148,Brown & Pipkins,brown-pipkins,Georgia,GA,Atlanta,Atlanta,554.0015,3128678.0,Government Services,1,21139.716216216217,Low
820,25019,820,27,J2 Solutions,j2-solutions,Pennsylvania,PA,King of Prussia,Philadelphia,553.9331,2804268.0,IT Services,1,103861.77777777778,Low
821,23634,821,351,Argo Marketing Group,argo-marketing-group,Maine,ME,Lewiston,Lewiston-Auburn ME,553.0304,10435138.0,Telecommunications,2,29729.737891737892,Low
822,26300,822,153,HH Global,hh-global,Illinois,IL,Vernon Hills,Chicago,552.5357,101932804.0,Advertising & Marketing,1,666227.477124183,Low
823,19535,823,60,Dream Finders Homes,dream-finders-homes,Florida,FL,Orange Park,Jacksonville FL,552.2568,84865345.0,Real Estate,4,1414422.4166666667,Low
824,23043,824,33,Sovereign Lending Group,sovereign-lending-group,California,CA,Irvine,Los Angeles,552.2178,6571994.0,Financial Services,2,199151.33333333334,Low
825,21570,825,284,Kareo,kareo,California,CA,Irvine,Los Angeles,551.7195,30018046.0,Software,3,105697.34507042254,Low
826,25288,826,10,Sustainment Solutions,sustainment-solutions,Kentucky,KY,Lancaster,Danville KY,551.4629,10077629.0,Security,1,1007762.9,Low
827,25308,827,100,Holland Square Group,holland-square-group,Tennessee,TN,Franklin,Nashville,551.3764,14643736.0,IT Services,1,146437.36,Low
828,25115,828,8,24hrs Deals,24hrs-deals,Florida,FL,Deerfield Beach,Miami,549.6837,4509578.0,Consumer Products & Services,1,563697.25,Low
829,21011,829,51,Altitude Digital,altitude-digital,Colorado,CO,Denver,Denver,549.2299,21903400.0,Advertising & Marketing,3,429478.43137254904,Low
830,26214,830,140,Sq1,sq1,Texas,TX,Dallas,Dallas,548.6604,11057000.0,Advertising & Marketing,1,78978.57142857143,Low
831,25623,831,25,Cardinal Web Solutions,cardinal-web-solutions,Georgia,GA,Norcross,Atlanta,548.5768,2219968.0,Advertising & Marketing,1,88798.72,Low
832,23320,832,25,The Darton Group,the-darton-group,North Carolina,NC,Charlotte,Charlotte,548.302,7112016.0,Business Products & Services,2,284480.64,Low
833,21903,833,157,MentorMate,mentormate,Minnesota,MN,Minneapolis,Minneapolis,545.4473,9599144.0,Software,3,61141.04458598726,Low
834,25948,834,15,Bannockburn Global Forex,bannockburn-global-forex,Ohio,OH,Cincinnati,Cincinnati,544.899,4224785.0,Financial Services,1,281652.3333333333,Low
835,23296,835,12,Technossus,technossus,California,CA,Irvine,Los Angeles,544.364,6231000.0,Software,2,519250.0,Low
836,25127,836,98,Cadatasoft,cadatasoft,Texas,TX,Dallas,Dallas,541.6647,9424046.0,Software,1,96163.73469387754,Low
837,25144,837,39,180,180,Illinois,IL,Naperville,Chicago,541.2336,4620178.0,Engineering,1,118466.10256410256,Low
838,26216,838,31,Platinum Drive Realty,platinum-drive-realty,New York,NY,Scarsdale,New York City,540.6522,2263373.0,Real Estate,1,73012.03225806452,Low
839,25896,839,55,Neos Consulting Group,neos-consulting-group,Texas,TX,Austin,Austin,539.7169,11055671.0,IT Services,1,201012.2,Low
840,23016,840,36,LenCred,lencred,New Jersey,NJ,Blackwood,Philadelphia,536.4412,3500936.0,Financial Services,2,97248.22222222222,Low
841,21283,841,41,Old Town IT,old-town-it,Virginia,VA,Alexandria,Washington DC,535.5481,5836442.0,Software,3,142352.24390243902,Low
842,25467,842,21,Macedon Technologies,macedon-technologies,Virginia,VA,Reston,Washington DC,535.2888,4536470.0,IT Services,1,216022.38095238095,Low
843,17579,843,88,Rise Interactive,rise-interactive,Illinois,IL,Chicago,Chicago,534.5245,31428000.0,Advertising & Marketing,5,357136.36363636365,Low
844,23572,844,13,Total Apps,total-apps,California,CA,Aliso Viejo,Los Angeles,533.6947,3419898.0,Financial Services,2,263069.07692307694,Low
845,23174,845,5,Paramount Business Jets,paramount-business-jets,Virginia,VA,Leesburg,Washington DC,531.5743,5374078.0,Travel & Hospitality,2,1074815.6,Low
846,17269,846,45,Veteran Corps of America,veteran-corps-of-america,Illinois,IL,O'Fallon,St. Louis MO-IL,530.9633,15598630.0,Government Services,5,346636.22222222225,Low
847,26327,847,23,Beekeeper Group,beekeeper-group,District of Columbia,DC,Washington,Washington DC,530.6246,3891818.0,Advertising & Marketing,1,169209.47826086957,Low
848,23589,848,31,NTP Wireless,ntp-wireless,Illinois,IL,Chicago,Chicago,530.5351,5454526.0,Telecommunications,2,175952.4516129032,Low
849,19472,849,3500,ScribeAmerica,scribeamerica,Florida,FL,Aventura,Miami,529.1066,52637800.0,Health,4,15039.371428571429,Low
850,21250,850,32,Sunwarrior,sunwarrior,Nevada,NV,Overton,Las Vegas-Paradise NV,528.4433,16425157.0,Health,3,513286.15625,Low
851,26434,851,10,CPC Diversified Fund,cpc-diversified-fund,Utah,UT,Sandy,Salt Lake City,528.4243,2543824.0,Financial Services,1,254382.4,Low
852,103,852,218,Technatomy,technatomy,Virginia,VA,Fairfax,Washington DC,527.6771,68521887.0,Government Services,6,314320.58256880735,Low
853,21888,853,42,Atlas RFID Solutions,atlas-rfid-solutions,Alabama,AL,Birmingham,Birmingham-Hoover AL,527.6727,8600378.0,Software,3,204770.90476190476,Low
854,26547,854,17,Wholesale Warranties,wholesale-warranties,California,CA,San Diego,San Diego,527.0349,4181558.0,Insurance,1,245974.0,Low
855,24874,855,135,LABUR Professional Staffing,labur-professional-staffing,Massachusetts,MA,Boston,Boston,526.9266,6915000.0,Human Resources,1,51222.22222222222,Low
856,22853,856,174,JetSuite,jetsuite,California,CA,Irvine,Los Angeles,526.7349,46510000.0,Logistics & Transportation,1,267298.8505747126,Low
857,23725,857,85,Appia,appia,North Carolina,NC,Durham,Durham NC,525.8844,46353000.0,Advertising & Marketing,2,545329.4117647059,Low
858,24811,858,20,Sun Broadcast Group,sun-broadcast-group,New York,NY,New York,New York City,525.8443,4709929.0,Media,1,235496.45,Low
859,21049,859,25,The FlexPro Group,the-flexpro-group,Pennsylvania,PA,Plymouth Meeting,Philadelphia,525.4941,6330000.0,Health,3,253200.0,Low
860,25886,860,7,DevelopIntelligence,developintelligence,Colorado,CO,Boulder,Boulder CO,524.7026,2046307.0,Education,1,292329.5714285714,Low
861,23478,861,14,Sandlapper Securities,sandlapper-securities,South Carolina,SC,Greenville,Greenville-Mauldin-Easley SC,524.4268,5973448.0,Financial Services,2,426674.85714285716,Low
862,21082,862,640,Four Foods Group Holdings,four-foods-group-holdings,Utah,UT,American Fork,Provo-Orem UT,523.773,37364000.0,Food & Beverage,3,58381.25,Low
863,21010,863,41,Edge Homes,edge-homes,Utah,UT,Orem,Provo-Orem UT,523.4011,112782895.0,Construction,3,2750802.3170731706,Low
864,26516,864,46,Haris Design & Construction,haris-design-construction,Maryland,MD,Germantown,Washington DC,519.923,18656198.0,Government Services,1,405569.52173913043,Low
865,26107,865,7,Landmark,landmark,Delaware,DE,Dover,Dover DE,519.7045,3783730.0,Construction,1,540532.8571428572,Low
866,23052,866,84,Adora,adora,North Carolina,NC,High Point,Thomasville-Lexington NC,518.606,2545867.0,Retail,2,30307.940476190477,Low
867,23429,867,255,Sundance Healthcare,sundance-healthcare,Texas,TX,Arlington,Dallas,518.2484,18566000.0,Health,2,72807.8431372549,Low
868,15885,868,2,Toussaint and Company,toussaint-and-company,Indiana,IN,Carmel,Indianapolis IN,517.8956,2037758.0,Human Resources,2,1018879.0,Low
869,26499,869,48,CompuGroup Technologies,compugroup-technologies,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,516.3868,3754067.0,IT Services,1,78209.72916666667,Low
870,25390,870,26,DaVinciTek,davincitek,New Jersey,NJ,Morristown,New York City,516.2734,2534782.0,IT Services,1,97491.61538461539,Low
871,26100,871,22,Isom Global Strategies,isom-global-strategies,District of Columbia,DC,Washington,Washington DC,516.23,2416515.0,Advertising & Marketing,1,109841.59090909091,Low
872,26400,872,15,ShoeCenter.com,shoecentercom,New Jersey,NJ,Dunellen,New York City,516.1029,4189500.0,Retail,1,279300.0,Low
873,25324,873,38,NetImpact Strategies,netimpact-strategies,Virginia,VA,Chantilly,Washington DC,513.7631,7967829.0,Government Services,1,209679.7105263158,Low
874,21321,874,1900,Staffworks Group,staffworks-group,Michigan,MI,Southfield,Detroit,513.6562,33702000.0,Human Resources,2,17737.894736842107,Low
875,25823,875,7,OSSCube,osscube,Texas,TX,Austin,Austin,513.3923,4472090.0,IT Services,1,638870.0,Low
876,26373,876,36,RPI Consultants,rpi-consultants,Maryland,MD,Baltimore,Baltimore,512.4666,9489503.0,IT Services,1,263597.30555555556,Low
877,21873,877,20,Meridian Pacific Properties,meridian-pacific-properties,California,CA,San Marcos,San Diego,512.3287,13415944.0,Real Estate,3,670797.2,Low
878,23487,878,145,National Corporate Housing,national-corporate-housing,Virginia,VA,Herndon,Washington DC,511.3696,92121708.0,Travel & Hospitality,2,635322.124137931,Low
879,23328,879,518,21c Museum Hotels,21c-museum-hotels,Kentucky,KY,Louisville,Louisville/Jefferson KY-IN,510.7169,4298085.0,Travel & Hospitality,2,8297.46138996139,Low
880,21776,880,70,Procore Technologies,procore-technologies,California,CA,Carpinteria,Santa Barbara-Santa Maria-Goleta CA,510.3734,9454324.0,Software,3,135061.77142857143,Low
881,23396,881,40,New River Systems,new-river-systems,Virginia,VA,Sterling,Washington DC,510.3102,16007887.0,Government Services,2,400197.175,Low
882,23315,882,90,Moguldom Media Group,moguldom-media-group,Florida,FL,Fort Lauderdale,Miami,510.1143,15377405.0,Media,2,170860.05555555556,Low
883,26245,883,20,Gabby,gabby,Alabama,AL,Montevallo,Birmingham-Hoover AL,508.3333,8760000.0,Consumer Products & Services,1,438000.0,Low
884,18648,884,38,Advanced Systems Engineering,advanced-systems-engineering,Virginia,VA,Reston,Washington DC,506.3546,6117408.0,IT Services,4,160984.42105263157,Low
885,19715,885,61,KeepCalling,keepcalling,Georgia,GA,Atlanta,Atlanta,505.6375,41025000.0,Telecommunications,4,672540.9836065574,Low
886,25505,886,26,The Cassina Group,the-cassina-group,South Carolina,SC,Mount Pleasant,Charleston-North Charleston SC,504.9494,4106614.0,Real Estate,1,157946.6923076923,Low
887,20982,887,124,Applause,applause,Massachusetts,MA,Framingham,Boston,503.4974,24158000.0,Business Products & Services,3,194822.5806451613,Low
888,21111,888,75,Internet Marketing,internet-marketing,California,CA,San Diego,San Diego,503.4604,17816391.0,Advertising & Marketing,3,237551.88,Low
889,25428,889,22,Olo,olo,New York,NY,New York,New York City,503.0898,3495032.0,Software,1,158865.0909090909,Low
890,23212,890,31,GameSim,gamesim,Florida,FL,Orlando,Orlando FL,502.6457,3618809.0,Software,2,116735.7741935484,Low
891,23339,891,79,Noah Consulting,noah-consulting,Texas,TX,Houston,Houston,501.942,28672419.0,Business Products & Services,2,362942.0126582279,Low
892,25322,892,25,Ken Systems,ken-systems,Virginia,VA,Herndon,Washington DC,501.1975,2504595.0,IT Services,1,100183.8,Low
893,24838,893,8,OneTaste,onetaste,California,CA,San Francisco,San Francisco,500.3115,4220190.0,Education,1,527523.75,Low
894,26041,894,34,Fresh Healthy Vending International,fresh-healthy-vending-international,California,CA,San Diego,San Diego,499.9799,4865837.0,Food & Beverage,1,143112.85294117648,Low
895,26597,895,30,Solar Alternatives,solar-alternatives,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,499.1678,3541675.0,Energy,1,118055.83333333333,Low
896,24799,896,22,ZEV Technologies,zev-technologies,California,CA,Oxnard,Oxnard-Thousand Oaks-Ventura CA,498.9379,3574036.0,Consumer Products & Services,1,162456.18181818182,Low
897,23366,897,150,Private Prep,private-prep,New York,NY,New York,New York City,498.5253,4424658.0,Education,2,29497.72,Low
898,26407,898,108,Johnson Security Bureau,johnson-security-bureau,New York,NY,Bronx,New York City,497.0153,3242862.0,Security,1,30026.5,Low
899,26149,899,28,Steubenville Pike Auto,steubenville-pike-auto,Pennsylvania,PA,Robinson Township,Pittsburgh PA,496.8801,2033087.0,Retail,1,72610.25,Low
900,25810,900,29,AccuLynx,acculynx,Wisconsin,WI,Beloit,Janesville WI,496.605,3590530.0,Software,1,123811.37931034483,Low
901,25814,901,10,Kitewire,kitewire,Virginia,VA,Arlington,Washington DC,496.5669,2245114.0,Software,1,224511.4,Low
902,24697,902,830,Cielo,cielo,Wisconsin,WI,Brookfield,Milwaukee-Waukesha-West Allis WI,495.7125,103511000.0,Business Products & Services,1,124712.04819277108,Low
903,23040,903,50,Arocon Roofing and Construction,arocon-roofing-and-construction,Maryland,MD,Westminster,Baltimore,495.5408,9949700.0,Construction,2,198994.0,Low
904,23058,904,62,North Florida Field Services,north-florida-field-services,Florida,FL,Jacksonville,Jacksonville FL,495.4157,28574000.0,Construction,2,460870.96774193546,Low
905,26414,905,70,Panopto,panopto,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,494.74,9346589.0,Software,1,133522.7,Low
906,21053,906,55,Landmark Network,landmark-network,California,CA,North Hollywood,Los Angeles,494.5792,9421560.0,Real Estate,3,171301.0909090909,Low
907,26307,907,11,Inspiria Media,inspiria-media,New York,NY,White Plains,New York City,494.3653,2325282.0,Media,1,211389.27272727274,Low
908,22953,908,102,SalesStaff,salesstaff,Texas,TX,Stafford,Houston,494.18,6377726.0,Business Products & Services,2,62526.72549019608,Low
909,23309,909,35,3d Lacrosse,3d-lacrosse,Colorado,CO,Denver,Denver,492.9614,7008804.0,Consumer Products & Services,2,200251.54285714286,Low
910,21393,910,37,Worldwide Power Products,worldwide-power-products,Texas,TX,Houston,Houston,492.5559,36567478.0,Energy,3,988310.2162162162,Low
911,23304,911,106,Coretek Services,coretek-services,Michigan,MI,Farmington Hills,Detroit,492.0908,25982707.0,IT Services,2,245119.87735849057,Low
912,23306,912,808,JobFinders Employment Services,jobfinders-employment-services,Missouri,MO,Columbia,Columbia MO,492.0767,4699200.0,Human Resources,2,5815.841584158416,Low
913,26429,913,50,Kinetix Trading Solutions,kinetix-trading-solutions,New Jersey,NJ,Princeton,Trenton-Ewing NJ,491.7185,7389824.0,Financial Services,1,147796.48,Low
914,25912,914,65,Cervello,cervello,Massachusetts,MA,Boston,Boston,491.3797,11779604.0,IT Services,1,181224.6769230769,Low
915,25496,915,47,Swift Capital,swift-capital,Delaware,DE,Wilmington,Philadelphia,491.1572,11703500.0,Financial Services,1,249010.63829787233,Low
916,19358,916,106,Jama Software,jama-software,Oregon,OR,Portland,Portland OR,491.1248,13009475.0,Software,4,122730.89622641509,Low
917,25479,917,25,Mobile Healthcare Solutions,mobile-healthcare-solutions,Arizona,AZ,Dewey,Prescott AZ,490.888,2062081.0,Health,1,82483.24,Low
918,26532,918,160,Premier Management,premier-management,Maryland,MD,Columbia,Baltimore,490.4775,19242500.0,Government Services,1,120265.625,Low
919,23403,919,5,ExclusiveCPA,exclusivecpa,Wisconsin,WI,Kaukauna,Green Bay WI,490.1845,7992963.0,Advertising & Marketing,2,1598592.6,Low
920,21173,920,350,MediaMath,mediamath,New York,NY,New York,New York City,489.9209,310820958.0,Advertising & Marketing,2,888059.88,Low
921,22124,921,50,Tower Legal Solutions,tower-legal-solutions,New York,NY,New York,New York City,489.1866,83091126.0,Business Products & Services,2,1661822.52,Low
922,18326,922,4100,Dialog Direct,dialog-direct,Michigan,MI,Highland Park,Detroit,487.7011,254980000.0,Telecommunications,5,62190.243902439026,Low
923,25256,923,35,Mongoose Metrics,mongoose-metrics,Ohio,OH,Independence,Cleveland,487.55,8191428.0,IT Services,1,234040.8,Low
924,25697,924,450,Marbles: The Brain Store,marbles-the-brain-store,Illinois,IL,Chicago,Chicago,487.1468,18912000.0,Retail,1,42026.666666666664,Low
925,23354,925,15,Vector Media Group,vector-media-group,New York,NY,New York,New York City,487.0744,2930153.0,Advertising & Marketing,2,195343.53333333333,Low
926,25979,926,30,C-leveled,c-leveled,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,487.0677,2201504.0,Business Products & Services,1,73383.46666666666,Low
927,25853,927,12,DecisivEdge,decisivedge,Delaware,DE,Wilmington,Philadelphia,486.0508,5403224.0,Financial Services,1,450268.6666666667,Low
928,17681,928,75,Moore Family Hearing Company,moore-family-hearing-company,California,CA,Roseville,Sacramento--Arden-Arcade--Roseville CA,485.1412,12373664.0,Health,2,164982.18666666668,Low
929,25637,929,50,Ace Metrix,ace-metrix,California,CA,Mountain View,San Jose,485.0856,10043398.0,Advertising & Marketing,1,200867.96,Low
930,21796,930,63,Initials,initials,Georgia,GA,Clarkesville,Cornelia GA,483.8643,17786245.0,Retail,3,282321.34920634923,Low
931,25443,931,108,Behavioral Health Works,behavioral-health-works,California,CA,Garden Grove,Los Angeles,483.5787,4402856.0,Health,1,40767.18518518518,Low
932,23348,932,65,Netmark,netmark,Idaho,ID,Idaho Falls,Idaho Falls ID,483.3171,6026144.0,Advertising & Marketing,2,92709.9076923077,Low
933,23236,933,81,Lifes2Good,lifes2good,Illinois,IL,Chicago,Chicago,483.217,16187101.0,Consumer Products & Services,2,199840.75308641975,Low
934,23065,934,36,TrendyMinds,trendyminds,Indiana,IN,Indianapolis,Indianapolis IN,482.7898,4771539.0,Advertising & Marketing,2,132542.75,Low
935,24909,935,21,MyDealerLot,mydealerlot,Georgia,GA,Roswell,Atlanta,482.7486,2871074.0,Business Products & Services,1,136717.80952380953,Low
936,26152,936,42,MindPoint Group,mindpoint-group,Virginia,VA,Springfield,Washington DC,481.6798,8546022.0,Security,1,203476.7142857143,Low
937,2157,937,86,Nutiva,nutiva,California,CA,Richmond,San Francisco,481.6327,69926685.0,Food & Beverage,6,813100.9883720931,Low
938,21329,938,19,Global Forwarding,global-forwarding,New Jersey,NJ,Manalapan,New York City,480.3505,8636022.0,Logistics & Transportation,2,454527.4736842105,Low
939,23256,939,16,Media Vision USA,media-vision-usa,California,CA,Oakland,San Francisco,480.1241,10044622.0,Business Products & Services,2,627788.875,Low
940,21045,940,13,Wall Street Network Solutions,wall-street-network-solutions,New Jersey,NJ,Parsippany,New York City,479.7559,10065107.0,Telecommunications,3,774239.0,Low
941,25191,941,135,Posh Technologies,posh-technologies,Washington,WA,Redmond,Seattle,478.3969,5831137.0,IT Services,1,43193.607407407406,Low
942,19572,942,250,Alliance Security,alliance-security,Rhode Island,RI,Warwick,Providence-New Bedford-Fall River RI-MA,478.3744,14537862.0,Security,4,58151.448,Low
943,23565,943,32,PharmaPoint,pharmapoint,Alabama,AL,Birmingham,Birmingham-Hoover AL,478.0726,7306081.0,Health,2,228315.03125,Low
944,23493,944,45,Richter10.2 Media Group,richter102-media-group,California,CA,San Jose,San Jose,477.9019,2795976.0,Advertising & Marketing,2,62132.8,Low
945,25885,945,12,Symbionce Financial Solutions,symbionce-financial-solutions,New Jersey,NJ,East Hanover,New York City,477.6645,3269529.0,Financial Services,1,272460.75,Low
946,23290,946,117,Power Grid Engineering,power-grid-engineering,Florida,FL,Winter Springs,Orlando FL,476.4187,14563398.0,Engineering,2,124473.48717948717,Low
